nm_area_avaliacao,an_base,g_discente,total,frequencia,variacao
Astronomia / Física,2021,Male,759,75.52,-1.61
Ciência Da Computação,1991,Female,50,31.65,-49.76
Ciência Da Computação,1991,Male,108,68.35,-49.76
Ciência Da Computação,1992,Female,55,28.35,-49.76
Ciência Da Computação,1992,Male,139,71.65,-49.76
Ciência Da Computação,1993,Female,38,22.22,-49.76
Ciência Da Computação,1993,Male,133,77.78,-49.76
Ciência Da Computação,1994,Female,90,36.73,-49.76
Ciência Da Computação,1994,Male,155,63.27,-49.76
Ciência Da Computação,1995,Female,80,29.96,-49.76
Ciência Da Computação,1995,Male,187,70.04,-49.76
Ciência Da Computação,1996,Female,50,30.86,-49.76
Ciência Da Computação,1996,Male,112,69.14,-49.76
Ciência Da Computação,1997,Female,75,33.19,-49.76
Ciência Da Computação,1997,Male,151,66.81,-49.76
Ciência Da Computação,1998,Female,111,41.57,-49.76
Ciência Da Computação,1998,Male,156,58.43,-49.76
Ciência Da Computação,1999,Female,130,36.93,-49.76
Ciência Da Computação,1999,Male,222,63.07,-49.76
Ciência Da Computação,2000,Female,129,30.57,-49.76
Ciência Da Computação,2000,Male,293,69.43,-49.76
Ciência Da Computação,2001,Female,180,34.22,-49.76
Ciência Da Computação,2001,Male,346,65.78,-49.76
Ciência Da Computação,2002,Female,208,29.42,-49.76
Ciência Da Computação,2002,Male,499,70.58,-49.76
Ciência Da Computação,2003,Female,215,29.21,-49.76
Ciência Da Computação,2003,Male,521,70.79,-49.76
Ciência Da Computação,2004,Female,187,28.86,-49.76
Ciência Da Computação,2004,Male,461,71.14,-49.76
Ciência Da Computação,2005,Female,167,24.42,-49.76
Ciência Da Computação,2005,Male,517,75.58,-49.76
Ciência Da Computação,2006,Female,180,26.87,-49.76
Ciência Da Computação,2006,Male,490,73.13,-49.76
Ciência Da Computação,2007,Female,140,21.67,-49.76
Ciência Da Computação,2007,Male,506,78.33,-49.76
Ciência Da Computação,2008,Female,150,20.89,-49.76
Ciência Da Computação,2008,Male,568,79.11,-49.76
Ciência Da Computação,2009,Female,157,19.6,-49.76
Ciência Da Computação,2009,Male,644,80.4,-49.76
Ciência Da Computação,2010,Female,159,18.28,-49.76
Ciência Da Computação,2010,Male,711,81.72,-49.76
Ciência Da Computação,2011,Female,165,19.23,-49.76
Ciência Da Computação,2011,Male,693,80.77,-49.76
Ciência Da Computação,2012,Female,186,18.31,-49.76
Ciência Da Computação,2012,Male,830,81.69,-49.76
Ciência Da Computação,2013,Female,250,17.47,-49.76
Ciência Da Computação,2013,Male,1181,82.53,-49.76
Ciência Da Computação,2014,Female,256,18.05,-49.76
Ciência Da Computação,2014,Male,1162,81.95,-49.76
Ciência Da Computação,2015,Female,268,17.14,-49.76
Ciência Da Computação,2015,Male,1296,82.86,-49.76
Ciência Da Computação,2016,Female,273,16.73,-49.76
Ciência Da Computação,2016,Male,1359,83.27,-49.76
Ciência Da Computação,2017,Female,287,16.72,-49.76
Ciência Da Computação,2017,Male,1430,83.28,-49.76
Ciência Da Computação,2018,Female,260,16.09,-49.76
Ciência Da Computação,2018,Male,1356,83.91,-49.76
Ciência Da Computação,2019,Female,283,17.11,-49.76
Ciência Da Computação,2019,Male,1371,82.89,-49.76
Ciência Da Computação,2020,Female,275,18.24,-49.76
Ciência Da Computação,2020,Male,1233,81.76,-49.76
Ciência Da Computação,2021,Female,222,15.9,-49.76
Ciência Da Computação,2021,Male,1174,84.1,-49.76
Direito,1991,Female,25,34.72,37.1
Direito,1991,Male,47,65.28,37.1
Direito,1992,Female,56,37.33,37.1
Direito,1992,Male,94,62.67,37.1
Direito,1993,Female,53,40.15,37.1
Direito,1993,Male,79,59.85,37.1
Direito,1994,Female,48,31.79,37.1
Direito,1994,Male,103,68.21,37.1
Direito,1995,Female,66,36.87,37.1
Direito,1995,Male,113,63.13,37.1
Direito,1996,Female,53,36.3,37.1
Direito,1996,Male,93,63.7,37.1
Direito,1997,Female,67,39.64,37.1
Direito,1997,Male,102,60.36,37.1
Direito,1998,Female,97,43.3,37.1
Direito,1998,Male,127,56.7,37.1
Direito,1999,Female,111,32.36,37.1
Direito,1999,Male,232,67.64,37.1
Direito,2000,Female,171,36.62,37.1
Direito,2000,Male,296,63.38,37.1
Direito,2001,Female,295,39.33,37.1
Direito,2001,Male,455,60.67,37.1
Direito,2002,Female,407,38.51,37.1
Direito,2002,Male,650,61.49,37.1
Direito,2003,Female,562,43.1,37.1
Direito,2003,Male,742,56.9,37.1
Direito,2004,Female,512,43.72,37.1
Direito,2004,Male,659,56.28,37.1
Direito,2005,Female,551,46.19,37.1
Direito,2005,Male,642,53.81,37.1
Direito,2006,Female,516,40.98,37.1
Direito,2006,Male,743,59.02,37.1
Direito,2007,Female,525,43.9,37.1
Direito,2007,Male,671,56.1,37.1
Direito,2008,Female,533,44.05,37.1
Direito,2008,Male,677,55.95,37.1
Direito,2009,Female,493,41.99,37.1
Direito,2009,Male,681,58.01,37.1
Direito,2010,Female,492,42.75,37.1
Direito,2010,Male,659,57.25,37.1
Direito,2011,Female,549,44.78,37.1
Direito,2011,Male,677,55.22,37.1
Direito,2012,Female,566,41.74,37.1
Direito,2012,Male,790,58.26,37.1
Direito,2013,Female,906,42.64,37.1
Direito,2013,Male,1219,57.36,37.1
Direito,2014,Female,1039,42.3,37.1
Direito,2014,Male,1417,57.7,37.1
Direito,2015,Female,1032,41.66,37.1
Direito,2015,Male,1445,58.34,37.1
Direito,2016,Female,1217,41.68,37.1
Direito,2016,Male,1703,58.32,37.1
Direito,2017,Female,1295,42.15,37.1
Direito,2017,Male,1777,57.85,37.1
Direito,2018,Female,1455,43.72,37.1
Direito,2018,Male,1873,56.28,37.1
Direito,2019,Female,1549,44.87,37.1
Direito,2019,Male,1903,55.13,37.1
Direito,2020,Female,1521,44.59,37.1
Direito,2020,Male,1890,55.41,37.1
Direito,2021,Female,1600,47.6,37.1
Direito,2021,Male,1761,52.4,37.1
Economia,1991,Female,24,18.05,79.89
Economia,1991,Male,109,81.95,79.89
Economia,1992,Female,54,27.69,79.89
Economia,1992,Male,141,72.31,79.89
Economia,1993,Female,61,31.77,79.89
Economia,1993,Male,131,68.23,79.89
Economia,1994,Female,55,25.94,79.89
Economia,1994,Male,157,74.06,79.89
Economia,1995,Female,65,31.71,79.89
Economia,1995,Male,140,68.29,79.89
Economia,1996,Female,39,32.23,79.89
Economia,1996,Male,82,67.77,79.89
Economia,1997,Female,38,28.57,79.89
Economia,1997,Male,95,71.43,79.89
Economia,1998,Female,53,36.05,79.89
Economia,1998,Male,94,63.95,79.89
Economia,1999,Female,73,32.74,79.89
Economia,1999,Male,150,67.26,79.89
Economia,2000,Female,93,34.19,79.89
Economia,2000,Male,179,65.81,79.89
Economia,2001,Female,101,35.56,79.89
Economia,2001,Male,183,64.44,79.89
Economia,2002,Female,95,26.39,79.89
Economia,2002,Male,265,73.61,79.89
Economia,2003,Female,134,29.52,79.89
Economia,2003,Male,320,70.48,79.89
Economia,2004,Female,133,32.13,79.89
Economia,2004,Male,281,67.87,79.89
Economia,2005,Female,125,29.98,79.89
Economia,2005,Male,292,70.02,79.89
Economia,2006,Female,162,31.15,79.89
Economia,2006,Male,358,68.85,79.89
Economia,2007,Female,149,30.85,79.89
Economia,2007,Male,334,69.15,79.89
Economia,2008,Female,156,29.94,79.89
Economia,2008,Male,365,70.06,79.89
Economia,2009,Female,190,30.5,79.89
Economia,2009,Male,433,69.5,79.89
Economia,2010,Female,195,32.45,79.89
Economia,2010,Male,406,67.55,79.89
Economia,2011,Female,213,32.97,79.89
Economia,2011,Male,433,67.03,79.89
Economia,2012,Female,198,30.18,79.89
Economia,2012,Male,458,69.82,79.89
Economia,2013,Female,296,32.28,79.89
Economia,2013,Male,621,67.72,79.89
Economia,2014,Female,310,31.73,79.89
Economia,2014,Male,667,68.27,79.89
Economia,2015,Female,347,35.88,79.89
Economia,2015,Male,620,64.12,79.89
Economia,2016,Female,347,33.66,79.89
Economia,2016,Male,684,66.34,79.89
Economia,2017,Female,351,30.42,79.89
Economia,2017,Male,803,69.58,79.89
Economia,2018,Female,376,33.63,79.89
Economia,2018,Male,742,66.37,79.89
Economia,2019,Female,342,30.24,79.89
Economia,2019,Male,789,69.76,79.89
Economia,2020,Female,351,34.04,79.89
Economia,2020,Male,680,65.96,79.89
Economia,2021,Female,353,32.47,79.89
Economia,2021,Male,734,67.53,79.89
Engenharias III,1991,Female,27,10.55,167.87
Engenharias III,1991,Male,229,89.45,167.87
Engenharias III,1992,Female,52,17.33,167.87
Engenharias III,1992,Male,248,82.67,167.87
Engenharias III,1993,Female,70,19.77,167.87
Engenharias III,1993,Male,284,80.23,167.87
Engenharias III,1994,Female,66,17.89,167.87
Engenharias III,1994,Male,303,82.11,167.87
Engenharias III,1995,Female,96,21.33,167.87
Engenharias III,1995,Male,354,78.67,167.87
Engenharias III,1996,Female,102,26.84,167.87
Engenharias III,1996,Male,278,73.16,167.87
Engenharias III,1997,Female,99,24.09,167.87
Engenharias III,1997,Male,312,75.91,167.87
Engenharias III,1998,Female,137,26.86,167.87
Engenharias III,1998,Male,373,73.14,167.87
Engenharias III,1999,Female,207,30.44,167.87
Engenharias III,1999,Male,473,69.56,167.87
Engenharias III,2000,Female,233,31.23,167.87
Engenharias III,2000,Male,513,68.77,167.87
Engenharias III,2001,Female,170,27.07,167.87
Engenharias III,2001,Male,458,72.93,167.87
Engenharias III,2002,Female,224,26.26,167.87
Engenharias III,2002,Male,629,73.74,167.87
Engenharias III,2003,Female,269,27.31,167.87
Engenharias III,2003,Male,716,72.69,167.87
Engenharias III,2004,Female,328,27.4,167.87
Engenharias III,2004,Male,869,72.6,167.87
Engenharias III,2005,Female,296,23.91,167.87
Engenharias III,2005,Male,942,76.09,167.87
Engenharias III,2006,Female,320,26.64,167.87
Engenharias III,2006,Male,881,73.36,167.87
Engenharias III,2007,Female,335,29.11,167.87
Engenharias III,2007,Male,816,70.89,167.87
Engenharias III,2008,Female,370,29.04,167.87
Engenharias III,2008,Male,904,70.96,167.87
Engenharias III,2009,Female,377,27.68,167.87
Engenharias III,2009,Male,985,72.32,167.87
Engenharias III,2010,Female,403,29.87,167.87
Engenharias III,2010,Male,946,70.13,167.87
Engenharias III,2011,Female,457,31.17,167.87
Engenharias III,2011,Male,1009,68.83,167.87
Engenharias III,2012,Female,474,29.91,167.87
Engenharias III,2012,Male,1111,70.09,167.87
Engenharias III,2013,Female,637,29.53,167.87
Engenharias III,2013,Male,1520,70.47,167.87
Engenharias III,2014,Female,602,27.77,167.87
Engenharias III,2014,Male,1566,72.23,167.87
Engenharias III,2015,Female,698,28.18,167.87
Engenharias III,2015,Male,1779,71.82,167.87
Engenharias III,2016,Female,743,27.93,167.87
Engenharias III,2016,Male,1917,72.07,167.87
Engenharias III,2017,Female,845,29.78,167.87
Engenharias III,2017,Male,1992,70.22,167.87
Engenharias III,2018,Female,700,26.91,167.87
Engenharias III,2018,Male,1901,73.09,167.87
Engenharias III,2019,Female,746,28.4,167.87
Engenharias III,2019,Male,1881,71.6,167.87
Engenharias III,2020,Female,539,27.44,167.87
Engenharias III,2020,Male,1425,72.56,167.87
Engenharias III,2021,Female,590,28.26,167.87
Engenharias III,2021,Male,1498,71.74,167.87
Engenharias IV,1991,Female,48,16.05,43.55
Engenharias IV,1991,Male,251,83.95,43.55
Engenharias IV,1992,Female,45,13.27,43.55
Engenharias IV,1992,Male,294,86.73,43.55
Engenharias IV,1993,Female,47,14.33,43.55
Engenharias IV,1993,Male,281,85.67,43.55
Engenharias IV,1994,Female,45,14.29,43.55
Engenharias IV,1994,Male,270,85.71,43.55
Engenharias IV,1995,Female,55,15.71,43.55
Engenharias IV,1995,Male,295,84.29,43.55
Engenharias IV,1996,Female,53,17.43,43.55
Engenharias IV,1996,Male,251,82.57,43.55
Engenharias IV,1997,Female,73,20.45,43.55
Engenharias IV,1997,Male,284,79.55,43.55
Engenharias IV,1998,Female,64,17.58,43.55
Engenharias IV,1998,Male,300,82.42,43.55
Engenharias IV,1999,Female,76,18.86,43.55
Engenharias IV,1999,Male,327,81.14,43.55
Engenharias IV,2000,Female,95,21.99,43.55
Engenharias IV,2000,Male,337,78.01,43.55
Engenharias IV,2001,Female,110,19.1,43.55
Engenharias IV,2001,Male,466,80.9,43.55
Engenharias IV,2002,Female,130,20.77,43.55
Engenharias IV,2002,Male,496,79.23,43.55
Engenharias IV,2003,Female,169,21.45,43.55
Engenharias IV,2003,Male,619,78.55,43.55
Engenharias IV,2004,Female,181,20.8,43.55
Engenharias IV,2004,Male,689,79.2,43.55
Engenharias IV,2005,Female,187,20.39,43.55
Engenharias IV,2005,Male,730,79.61,43.55
Engenharias IV,2006,Female,194,19.11,43.55
Engenharias IV,2006,Male,821,80.89,43.55
Engenharias IV,2007,Female,175,19.95,43.55
Engenharias IV,2007,Male,702,80.05,43.55
Engenharias IV,2008,Female,193,20.21,43.55
Engenharias IV,2008,Male,762,79.79,43.55
Engenharias IV,2009,Female,180,18.07,43.55
Engenharias IV,2009,Male,816,81.93,43.55
Engenharias IV,2010,Female,203,21.55,43.55
Engenharias IV,2010,Male,739,78.45,43.55
Engenharias IV,2011,Female,196,19.44,43.55
Engenharias IV,2011,Male,812,80.56,43.55
Engenharias IV,2012,Female,198,17.1,43.55
Engenharias IV,2012,Male,960,82.9,43.55
Engenharias IV,2013,Female,302,20.34,43.55
Engenharias IV,2013,Male,1183,79.66,43.55
Engenharias IV,2014,Female,313,20.27,43.55
Engenharias IV,2014,Male,1231,79.73,43.55
Engenharias IV,2015,Female,331,19.6,43.55
Engenharias IV,2015,Male,1358,80.4,43.55
Engenharias IV,2016,Female,363,19.87,43.55
Engenharias IV,2016,Male,1464,80.13,43.55
Engenharias IV,2017,Female,400,21.53,43.55
Engenharias IV,2017,Male,1458,78.47,43.55
Engenharias IV,2018,Female,394,19.39,43.55
Engenharias IV,2018,Male,1638,80.61,43.55
Engenharias IV,2019,Female,477,22.81,43.55
Engenharias IV,2019,Male,1614,77.19,43.55
Engenharias IV,2020,Female,447,23.09,43.55
Engenharias IV,2020,Male,1489,76.91,43.55
Engenharias IV,2021,Female,376,23.04,43.55
Engenharias IV,2021,Male,1256,76.96,43.55
Filosofia,1991,Female,28,40,-31.7
Filosofia,1991,Male,42,60,-31.7
Filosofia,1992,Female,29,33.33,-31.7
Filosofia,1992,Male,58,66.67,-31.7
Filosofia,1993,Female,33,35.11,-31.7
Filosofia,1993,Male,61,64.89,-31.7
Filosofia,1994,Female,30,29.41,-31.7
Filosofia,1994,Male,72,70.59,-31.7
Filosofia,1995,Female,43,40.95,-31.7
Filosofia,1995,Male,62,59.05,-31.7
Filosofia,1996,Female,36,32.43,-31.7
Filosofia,1996,Male,75,67.57,-31.7
Filosofia,1997,Female,32,29.36,-31.7
Filosofia,1997,Male,77,70.64,-31.7
Filosofia,1998,Female,40,31.01,-31.7
Filosofia,1998,Male,89,68.99,-31.7
Filosofia,1999,Female,43,33.59,-31.7
Filosofia,1999,Male,85,66.41,-31.7
Filosofia,2000,Female,53,30.81,-31.7
Filosofia,2000,Male,119,69.19,-31.7
Filosofia,2001,Female,47,30.92,-31.7
Filosofia,2001,Male,105,69.08,-31.7
Filosofia,2002,Female,58,29.29,-31.7
Filosofia,2002,Male,140,70.71,-31.7
Filosofia,2003,Female,65,29.82,-31.7
Filosofia,2003,Male,153,70.18,-31.7
Filosofia,2004,Female,64,32,-31.7
Filosofia,2004,Male,136,68,-31.7
Filosofia,2005,Female,66,29.46,-31.7
Filosofia,2005,Male,158,70.54,-31.7
Filosofia,2006,Female,73,31.06,-31.7
Filosofia,2006,Male,162,68.94,-31.7
Filosofia,2007,Female,81,31.27,-31.7
Filosofia,2007,Male,178,68.73,-31.7
Filosofia,2008,Female,75,27.27,-31.7
Filosofia,2008,Male,200,72.73,-31.7
Filosofia,2009,Female,86,29.86,-31.7
Filosofia,2009,Male,202,70.14,-31.7
Filosofia,2010,Female,95,28.44,-31.7
Filosofia,2010,Male,239,71.56,-31.7
Filosofia,2011,Female,122,33.42,-31.7
Filosofia,2011,Male,243,66.58,-31.7
Filosofia,2012,Female,112,29.47,-31.7
Filosofia,2012,Male,268,70.53,-31.7
Filosofia,2013,Female,159,27.85,-31.7
Filosofia,2013,Male,412,72.15,-31.7
Filosofia,2014,Female,194,33.45,-31.7
Filosofia,2014,Male,386,66.55,-31.7
Filosofia,2015,Female,167,26.42,-31.7
Filosofia,2015,Male,465,73.58,-31.7
Filosofia,2016,Female,157,28.19,-31.7
Filosofia,2016,Male,400,71.81,-31.7
Filosofia,2017,Female,191,26.2,-31.7
Filosofia,2017,Male,538,73.8,-31.7
Filosofia,2018,Female,181,27.3,-31.7
Filosofia,2018,Male,482,72.7,-31.7
Filosofia,2019,Female,240,28.54,-31.7
Filosofia,2019,Male,601,71.46,-31.7
Filosofia,2020,Female,171,27.76,-31.7
Filosofia,2020,Male,445,72.24,-31.7
Filosofia,2021,Female,197,27.32,-31.7
Filosofia,2021,Male,524,72.68,-31.7
Geociências,1991,Female,38,31.67,46.76
Geociências,1991,Male,82,68.33,46.76
Geociências,1992,Female,49,30.25,46.76
Geociências,1992,Male,113,69.75,46.76
Geociências,1993,Female,52,30.06,46.76
Geociências,1993,Male,121,69.94,46.76
Geociências,1994,Female,55,29.41,46.76
Geociências,1994,Male,132,70.59,46.76
Geociências,1995,Female,77,30.43,46.76
Geociências,1995,Male,176,69.57,46.76
Geociências,1996,Female,63,35.8,46.76
Geociências,1996,Male,113,64.2,46.76
Geociências,1997,Female,64,32.32,46.76
Geociências,1997,Male,134,67.68,46.76
Geociências,1998,Female,86,38.74,46.76
Geociências,1998,Male,136,61.26,46.76
Geociências,1999,Female,99,35.11,46.76
Geociências,1999,Male,183,64.89,46.76
Geociências,2000,Female,89,35.89,46.76
Geociências,2000,Male,159,64.11,46.76
Geociências,2001,Female,126,40.13,46.76
Geociências,2001,Male,188,59.87,46.76
Geociências,2002,Female,120,38.83,46.76
Geociências,2002,Male,189,61.17,46.76
Geociências,2003,Female,123,39.3,46.76
Geociências,2003,Male,190,60.7,46.76
Geociências,2004,Female,143,44.55,46.76
Geociências,2004,Male,178,55.45,46.76
Geociências,2005,Female,136,40.36,46.76
Geociências,2005,Male,201,59.64,46.76
Geociências,2006,Female,159,40.56,46.76
Geociências,2006,Male,233,59.44,46.76
Geociências,2007,Female,160,45.07,46.76
Geociências,2007,Male,195,54.93,46.76
Geociências,2008,Female,190,48.47,46.76
Geociências,2008,Male,202,51.53,46.76
Geociências,2009,Female,146,38.42,46.76
Geociências,2009,Male,234,61.58,46.76
Geociências,2010,Female,203,46.35,46.76
Geociências,2010,Male,235,53.65,46.76
Geociências,2011,Female,217,44.65,46.76
Geociências,2011,Male,269,55.35,46.76
Geociências,2012,Female,225,44.47,46.76
Geociências,2012,Male,281,55.53,46.76
Geociências,2013,Female,327,45.86,46.76
Geociências,2013,Male,386,54.14,46.76
Geociências,2014,Female,309,42.45,46.76
Geociências,2014,Male,419,57.55,46.76
Geociências,2015,Female,380,47.26,46.76
Geociências,2015,Male,424,52.74,46.76
Geociências,2016,Female,374,46,46.76
Geociências,2016,Male,439,54,46.76
Geociências,2017,Female,363,40.88,46.76
Geociências,2017,Male,525,59.12,46.76
Geociências,2018,Female,407,43.11,46.76
Geociências,2018,Male,537,56.89,46.76
Geociências,2019,Female,401,42.8,46.76
Geociências,2019,Male,536,57.2,46.76
Geociências,2020,Female,373,47.22,46.76
Geociências,2020,Male,417,52.78,46.76
Geociências,2021,Female,304,46.48,46.76
Geociências,2021,Male,350,53.52,46.76
Matemática e Estatística,1991,Female,43,43,-39
Matemática e Estatística,1991,Male,57,57,-39
Matemática e Estatística,1992,Female,45,30.61,-39
Matemática e Estatística,1992,Male,102,69.39,-39
Matemática e Estatística,1993,Female,45,34.35,-39
Matemática e Estatística,1993,Male,86,65.65,-39
Matemática e Estatística,1994,Female,59,40.14,-39
Matemática e Estatística,1994,Male,88,59.86,-39
Matemática e Estatística,1995,Female,46,30.26,-39
Matemática e Estatística,1995,Male,106,69.74,-39
Matemática e Estatística,1996,Female,48,36.92,-39
Matemática e Estatística,1996,Male,82,63.08,-39
Matemática e Estatística,1997,Female,50,36.5,-39
Matemática e Estatística,1997,Male,87,63.5,-39
Matemática e Estatística,1998,Female,49,37.98,-39
Matemática e Estatística,1998,Male,80,62.02,-39
Matemática e Estatística,1999,Female,70,48.28,-39
Matemática e Estatística,1999,Male,75,51.72,-39
Matemática e Estatística,2000,Female,77,42.78,-39
Matemática e Estatística,2000,Male,103,57.22,-39
Matemática e Estatística,2001,Female,79,42.47,-39
Matemática e Estatística,2001,Male,107,57.53,-39
Matemática e Estatística,2002,Female,77,40.1,-39
Matemática e Estatística,2002,Male,115,59.9,-39
Matemática e Estatística,2003,Female,80,37.04,-39
Matemática e Estatística,2003,Male,136,62.96,-39
Matemática e Estatística,2004,Female,94,37.15,-39
Matemática e Estatística,2004,Male,159,62.85,-39
Matemática e Estatística,2005,Female,116,36.71,-39
Matemática e Estatística,2005,Male,200,63.29,-39
Matemática e Estatística,2006,Female,120,39.22,-39
Matemática e Estatística,2006,Male,186,60.78,-39
Matemática e Estatística,2007,Female,128,38.91,-39
Matemática e Estatística,2007,Male,201,61.09,-39
Matemática e Estatística,2008,Female,104,29.8,-39
Matemática e Estatística,2008,Male,245,70.2,-39
Matemática e Estatística,2009,Female,110,29.1,-39
Matemática e Estatística,2009,Male,268,70.9,-39
Matemática e Estatística,2010,Female,120,30.46,-39
Matemática e Estatística,2010,Male,274,69.54,-39
Matemática e Estatística,2011,Female,117,28.26,-39
Matemática e Estatística,2011,Male,297,71.74,-39
Matemática e Estatística,2012,Female,126,31.27,-39
Matemática e Estatística,2012,Male,277,68.73,-39
Matemática e Estatística,2013,Female,336,25.19,-39
Matemática e Estatística,2013,Male,998,74.81,-39
Matemática e Estatística,2014,Female,292,21.66,-39
Matemática e Estatística,2014,Male,1056,78.34,-39
Matemática e Estatística,2015,Female,342,26.01,-39
Matemática e Estatística,2015,Male,973,73.99,-39
Matemática e Estatística,2016,Female,337,26.51,-39
Matemática e Estatística,2016,Male,934,73.49,-39
Matemática e Estatística,2017,Female,337,26.33,-39
Matemática e Estatística,2017,Male,943,73.67,-39
Matemática e Estatística,2018,Female,320,26.19,-39
Matemática e Estatística,2018,Male,902,73.81,-39
Matemática e Estatística,2019,Female,336,26.27,-39
Matemática e Estatística,2019,Male,943,73.73,-39
Matemática e Estatística,2020,Female,283,25.77,-39
Matemática e Estatística,2020,Male,815,74.23,-39
Matemática e Estatística,2021,Female,310,26.23,-39
Matemática e Estatística,2021,Male,872,73.77,-39
Teologia,1991,Female,2,15.38,155.33
Teologia,1991,Male,11,84.62,155.33
Teologia,1992,Female,6,35.29,155.33
Teologia,1992,Male,11,64.71,155.33
Teologia,1993,Female,7,31.82,155.33
Teologia,1993,Male,15,68.18,155.33
Teologia,1994,Female,15,40.54,155.33
Teologia,1994,Male,22,59.46,155.33
Teologia,1995,Female,18,40.91,155.33
Teologia,1995,Male,26,59.09,155.33
Teologia,1996,Female,10,25.64,155.33
Teologia,1996,Male,29,74.36,155.33
Teologia,1997,Female,17,36.17,155.33
Teologia,1997,Male,30,63.83,155.33
Teologia,1998,Female,18,40.91,155.33
Teologia,1998,Male,26,59.09,155.33
Teologia,1999,Female,22,41.51,155.33
Teologia,1999,Male,31,58.49,155.33
Teologia,2000,Female,18,31.58,155.33
Teologia,2000,Male,39,68.42,155.33
Teologia,2001,Female,43,43.88,155.33
Teologia,2001,Male,55,56.12,155.33
Teologia,2002,Female,32,39.51,155.33
Teologia,2002,Male,49,60.49,155.33
Teologia,2003,Female,32,37.65,155.33
Teologia,2003,Male,53,62.35,155.33
Teologia,2004,Female,39,41.05,155.33
Teologia,2004,Male,56,58.95,155.33
Teologia,2005,Female,37,33.64,155.33
Teologia,2005,Male,73,66.36,155.33
Teologia,2006,Female,73,47.4,155.33
Teologia,2006,Male,81,52.6,155.33
Teologia,2007,Female,62,37.8,155.33
Teologia,2007,Male,102,62.2,155.33
Teologia,2008,Female,73,45.06,155.33
Teologia,2008,Male,89,54.94,155.33
Teologia,2009,Female,78,39.8,155.33
Teologia,2009,Male,118,60.2,155.33
Teologia,2010,Female,73,36.87,155.33
Teologia,2010,Male,125,63.13,155.33
Teologia,2011,Female,99,42.67,155.33
Teologia,2011,Male,133,57.33,155.33
Teologia,2012,Female,79,38.16,155.33
Teologia,2012,Male,128,61.84,155.33
Teologia,2013,Female,139,38.19,155.33
